,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
339,15 ene 2024,1.0946,1.0959,1.0934,1.0946,1.0946,,0.0573493940682892
78,15 ene 2025,1.0307,1.035,1.0271,1.0307,1.0307,,0.06792722576404699
5245,15 feb 2005,1.2972,1.3048,1.2956,1.3017,1.3017,,0.10713163865077353
4985,15 feb 2006,1.1916,1.1949,1.1876,1.1886,1.1886,,0.10575917454292066
4724,15 feb 2007,1.3139,1.3169,1.3123,1.3135,1.3135,,0.12462081286847719
4466,15 feb 2008,1.4642,1.4706,1.4634,1.4676,1.4676,,0.1623071686648505
3964,15 feb 2010,1.3628,1.3632,1.3583,1.3603,1.3603,,0.10105935384713499
3703,15 feb 2011,1.3483,1.3547,1.3462,1.3481,1.3481,,0.10035904044977945
3442,15 feb 2012,1.313,1.3189,1.3065,1.3134,1.3134,,0.06334743088713668
3181,15 feb 2013,1.3353,1.339,1.3309,1.3353,1.3353,,0.059956425844112586
2401,15 feb 2016,1.1226,1.1239,1.113,1.1226,1.1226,,0.09844248574675615
2139,15 feb 2017,1.0579,1.0588,1.0522,1.0578,1.0578,,0.1351211419430728
1880,15 feb 2018,1.2467,1.2512,1.2451,1.2467,1.2467,,0.12083978235663921
1619,15 feb 2019,1.1295,1.1298,1.1235,1.1295,1.1295,,0.11105371222971243
1099,15 feb 2021,1.2121,1.2147,1.2117,1.2122,1.2122,,0.07553292659496037
838,15 feb 2022,1.1306,1.1369,1.1306,1.1306,1.1306,,0.07478892297659916
577,15 feb 2023,1.0736,1.0745,1.0666,1.0736,1.0736,,0.06980391822813169
316,15 feb 2024,1.0732,1.0786,1.0725,1.0732,1.0732,,0.05695104915626701
5397,15 jul 2004,1.2385,1.2392,1.2335,1.2356,1.2356,,0.07613269993898578
5137,15 jul 2005,1.2094,1.2138,1.2028,1.2046,1.2046,,0.07451531386231715
4362,15 jul 2008,1.589,1.6028,1.5874,1.5899,1.5899,,0.2116051795207293
4117,15 jul 2009,1.3972,1.4132,1.3965,1.4102,1.4102,,0.20052204367600188
3856,15 jul 2010,1.2741,1.2956,1.2712,1.2929,1.2929,,0.15700997738997552
3595,15 jul 2011,1.4158,1.4196,1.4096,1.4157,1.4157,,0.14539664026379975
3075,15 jul 2013,1.3061,1.3081,1.2997,1.306,1.306,,0.11903332726594214
2815,15 jul 2014,1.3622,1.3628,1.3563,1.3622,1.3622,,0.057035033093710254
2554,15 jul 2015,1.1009,1.104,1.0936,1.1008,1.1008,,0.11929168872976977
2292,15 jul 2016,1.1106,1.1157,1.1059,1.1106,1.1106,,0.14531337859949467
1514,15 jul 2019,1.1272,1.1286,1.1256,1.1272,1.1272,,0.12315481314183287
1252,15 jul 2020,1.1411,1.1453,1.1394,1.1411,1.1411,,0.10944378465677974
991,15 jul 2021,1.1833,1.1851,1.1806,1.1833,1.1833,,0.03227669437844227
730,15 jul 2022,1.0026,1.0098,1.0011,1.0026,1.0026,,0.06731874181830244
209,15 jul 2024,1.0886,1.0922,1.0884,1.0886,1.0886,,0.06822443110791937
5419,15 jun 2004,1.2058,1.2171,1.2034,1.2166,1.2166,,0.08417988477064657
5159,15 jun 2005,1.2026,1.2131,1.2022,1.2122,1.2122,,0.09283565047975595
4899,15 jun 2006,1.261,1.2649,1.2593,1.264,1.264,,0.10789569036805641
4638,15 jun 2007,1.3314,1.3395,1.3309,1.3379,1.3379,,0.09096740075433545
4139,15 jun 2009,1.3986,1.4001,1.3761,1.3785,1.3785,,0.07401035738327573
3878,15 jun 2010,1.2216,1.2351,1.2172,1.2319,1.2319,,0.07088910353503004
3617,15 jun 2011,1.4449,1.445,1.421,1.445,1.445,,0.08603576581864335
3355,15 jun 2012,1.2628,1.2649,1.2595,1.2628,1.2628,,0.0862723420338201
2576,15 jun 2015,1.1218,1.1258,1.1192,1.122,1.122,,0.12666638464880975
2314,15 jun 2016,1.1213,1.126,1.1191,1.1213,1.1213,,0.13282162850981755
2053,15 jun 2017,1.1216,1.1228,1.1134,1.1216,1.1216,,0.14259736322947866
1794,15 jun 2018,1.1563,1.1627,1.1545,1.1567,1.1567,,0.06112754698169728
1274,15 jun 2020,1.1254,1.1292,1.1229,1.1252,1.1252,,0.015363365516692068
1013,15 jun 2021,1.2124,1.2149,1.2103,1.2122,1.2122,,0.03913189236415192
752,15 jun 2022,1.0441,1.0507,1.0386,1.0441,1.0441,,0.061079726587465064
491,15 jun 2023,1.0843,1.0939,1.0804,1.0843,1.0843,,0.06482441669617586
5485,15 mar 2004,1.2214,1.2314,1.2213,1.2272,1.2272,,0.07956949792476715
5225,15 mar 2005,1.3368,1.3403,1.3303,1.331,1.331,,0.11585841790737407
4965,15 mar 2006,1.2017,1.2076,1.2011,1.2071,1.2071,,0.11552338724258275
4704,15 mar 2007,1.3234,1.3282,1.3198,1.3283,1.3283,,0.10181962973808158
3944,15 mar 2010,1.3774,1.3774,1.3646,1.3677,1.3677,,0.07066804794247766
3683,15 mar 2011,1.399,1.4,1.3858,1.3992,1.3992,,0.07290825056192542
3421,15 mar 2012,1.3022,1.3083,1.3005,1.3023,1.3023,,0.07360755396017768
3161,15 mar 2013,1.3012,1.3104,1.3004,1.3012,1.3012,,0.04282292610273805
2380,15 mar 2016,1.1102,1.113,1.1074,1.1102,1.1102,,0.11222681052226481
2119,15 mar 2017,1.0612,1.0641,1.0611,1.0612,1.0612,,0.1428764221276556
1860,15 mar 2018,1.2375,1.2387,1.2321,1.2376,1.2376,,0.11115160817549999
1599,15 mar 2019,1.1308,1.1343,1.1302,1.1308,1.1308,,0.09838333192162023
1079,15 mar 2021,1.1951,1.1965,1.1912,1.195,1.195,,0.06980449842237672
818,15 mar 2022,1.0945,1.1018,1.0939,1.0943,1.0943,,0.07221822484663812
557,15 mar 2023,1.0728,1.076,1.052,1.0728,1.0728,,0.0690175340040456
295,15 mar 2024,1.0883,1.0902,1.0874,1.0883,1.0883,,0.048898292403717424
4922,15 may 2006,1.2973,1.2973,1.2782,1.279,1.279,,0.08867122983245235
4661,15 may 2007,1.3543,1.3607,1.3529,1.3596,1.3596,,0.1316198883147974
4404,15 may 2008,1.5468,1.5545,1.5428,1.5451,1.5451,,0.19728563809867194
4160,15 may 2009,1.3636,1.3648,1.3465,1.3502,1.3502,,0.16463408820775974
3378,15 may 2012,1.2832,1.287,1.2757,1.2832,1.2832,,0.10811911024421454
3118,15 may 2013,1.2937,1.2942,1.2844,1.2937,1.2937,,0.10541571514722377
2858,15 may 2014,1.3719,1.373,1.3651,1.372,1.372,,0.10536276856651326
2597,15 may 2015,1.1404,1.1451,1.1325,1.1405,1.1405,,0.09046627548429442
2076,15 may 2017,1.0928,1.099,1.0923,1.0927,1.0927,,0.11587427238175006
